Idx,Data,F_Data
446,0.686873,0.689541
447,0.693341,0.698376
448,0.700036,0.707107
449,0.707091,0.715731
450,0.714609,0.724247
451,0.722655,0.732654
452,0.731251,0.740951
453,0.740376,0.749136
454,0.749966,0.757209
455,0.759921,0.765167
456,0.770108,0.77301
457,0.780369,0.780737
458,0.790537,0.788346
459,0.800442,0.795837
460,0.809923,0.803208
461,0.818839,0.810457
462,0.82708,0.817585
463,0.83457,0.824589
464,0.841277,0.83147
465,0.847211,0.838225
466,0.852426,0.844854
467,0.857013,0.851355
468,0.861098,0.857729
469,0.864831,0.863973
470,0.868377,0.870087
471,0.871906,0.87607
472,0.875577,0.881921
473,0.879535,0.88764
474,0.883894,0.893224
475,0.888735,0.898674
476,0.894098,0.903989
477,0.899977,0.909168
478,0.906326,0.91421
479,0.913059,0.919114
480,0.920053,0.92388
481,0.92716,0.928506
482,0.934217,0.932993
483,0.941052,0.937339
484,0.947501,0.941544
485,0.953415,0.945607
486,0.95867,0.949528
487,0.963179,0.953306
488,0.966892,0.95694
489,0.969804,0.960431
490,0.971952,0.963776
491,0.973415,0.966976
492,0.974307,0.970031
493,0.97477,0.97294
494,0.974966,0.975702
495,0.975064,0.978317
496,0.97523,0.980785
497,0.975614,0.983105
498,0.976345,0.985278
499,0.977518,0.987301
500,0.979189,0.989177
501,0.98137,0.990903
502,0.984031,0.99248
503,0.987101,0.993907
504,0.990471,0.995185
505,0.994002,0.996313
506,0.997536,0.99729
507,1.0009,0.998118
508,1.00394,0.998795
509,1.00648,0.999322
510,1.0084,0.999699
511,1.00959,0.999925
